tract,households,married,singledad,singlemom,income,foodstamps,owners
Census Tract 76.03,3594,678,327,1361,47816,0,1540
Census Tract 76.04,3446,1183,315,878,53125,0,1649
Census Tract 76.05,3692,759,369,1628,42604,0,668
Census Tract 77.03,5439,714,500,3047,36071,0,1418
Census Tract 77.07,4275,993,390,2232,50000,0,1927
Census Tract 77.08,2683,518,236,1388,27256,0,745
Census Tract 77.09,1571,266,17,631,31359,0,533
Census Tract 78.03,2735,458,152,1278,24797,0,1065
Census Tract 78.04,2809,847,132,1317,29145,0,1381
Census Tract 78.06,2196,617,346,816,39412,0,1149
Census Tract 78.07,2245,649,110,1155,21867,0,646
Census Tract 78.08,4490,835,381,2657,34135,0,1487
Census Tract 78.09,2531,289,241,1358,33025,13,1033
Census Tract 79.01,4205,495,650,2153,24847,0,1320
Census Tract 79.03,1569,474,135,484,39583,0,1016
Census Tract 80.01,2682,801,187,644,54375,21,1926
Census Tract 80.02,3620,1530,150,673,43750,0,2387
Census Tract 81,3375,1488,170,570,67784,16,2331
Census Tract 82,2798,938,22,106,75478,0,1241
Census Tract 83.01,2655,801,29,327,93889,14,1506
Census Tract 83.02,2246,1071,114,40,42656,0,1353
Census Tract 84.02,2083,801,152,273,36875,0,976
Census Tract 84.10,1359,332,279,368,94028,0,874
Census Tract 87.01,1982,223,37,926,43950,0,1085
Census Tract 87.02,1830,271,246,680,56397,28,975
Census Tract 88.02,4516,829,314,1971,30809,7,1834
Census Tract 88.03,1049,194,12,481,17963,0,203
Census Tract 88.04,2815,314,422,1284,25887,0,1176
Census Tract 89.03,2682,221,71,1680,30350,0,646
Census Tract 89.04,3209,468,421,1295,24500,21,473
Census Tract 90,2781,471,198,814,36442,18,1203
Census Tract 91.02,4489,1016,106,2564,31219,0,1876
Census Tract 92.01,1259,365,39,523,51357,0,461
Census Tract 92.03,2557,547,131,885,44706,8,1357
Census Tract 92.04,2609,612,255,867,20078,49,486
Census Tract 93.01,3067,1407,99,920,55114,11,2267
Census Tract 93.02,1140,489,68,285,63125,5,856
Census Tract 94,4059,1392,171,1537,63909,0,2921
Census Tract 95.01,4436,1456,383,1428,46250,48,1058
Census Tract 95.03,2978,1290,75,1128,74432,8,2563
Census Tract 95.04,2484,413,524,914,52917,0,1235
Census Tract 95.05,2782,1117,242,950,70667,0,2115
Census Tract 95.07,1443,437,34,626,49519,6,1254
Census Tract 95.08,3236,1368,215,745,55804,0,1907
Census Tract 95.09,3057,1479,333,760,67642,0,2594
Census Tract 96.01,2686,893,53,1509,35711,0,860
Census Tract 96.02,2928,156,154,2061,20773,0,300
Census Tract 96.03,2876,236,283,1291,40543,0,907
Census Tract 96.04,2061,489,110,771,46042,0,1523
Census Tract 97,2762,427,221,1870,26780,0,1016
Census Tract 98.01,1764,132,113,1240,29539,0,181
Census Tract 98.02,1209,109,0,761,22396,0,233
Census Tract 98.03,2451,384,272,1067,19521,0,522
Census Tract 98.04,2766,566,155,1532,47107,0,1107
Census Tract 98.07,3024,541,283,1509,38813,21,1491
Census Tract 98.10,2158,50,100,1416,27019,0,78
Census Tract 98.11,4104,362,610,2209,24481,0,245
Census Tract 99.01,2214,1347,132,314,83033,0,1772
Census Tract 99.02,2690,424,187,1557,53520,0,2154
Census Tract 99.03,1319,123,125,719,55691,0,676
Census Tract 99.04,1489,296,183,562,38920,6,461
Census Tract 99.05,2496,797,87,1086,37226,0,1097
Census Tract 99.06,1441,598,76,525,41088,0,809
Census Tract 99.07,2676,410,114,1726,23661,0,663
Census Tract 101,2548,793,0,0,38864,0,638
Census Tract 102,2417,638,27,555,85341,0,869
Census Tract 103,2892,950,257,957,62216,0,1385
Census Tract 104,3914,913,449,1816,39622,5,1662
Census Tract 105,4132,873,238,820,41083,49,899
Census Tract 106,3983,890,203,795,56786,0,1772
Census Tract 107,1862,298,0,59,49875,0,347
Census Tract 108,1533,124,0,40,7022,21,69
Census Tract 109,2913,274,138,1888,32202,0,164
Census Tract 110,3278,702,88,481,86410,31,2173
Census Tract 111,4290,1618,204,1543,53125,0,2992
